year,month,month_name,cpi_general_index,cpi_general_yoy_inflation_pct
2013,1,Jan,104.6,
2013,2,Feb,105.3,
2013,3,Mar,105.5,
2013,4,Apr,106.1,
2013,5,May,106.9,
2013,6,Jun,109.3,
2013,7,Jul,111.0,
2013,8,Aug,112.4,
2013,9,Sep,113.7,
2013,10,Oct,114.8,
2013,11,Nov,116.3,
2013,12,Dec,114.5,
2014,1,Jan,113.6,8.6
2014,2,Feb,113.6,7.88
2014,3,Mar,114.2,8.25
2014,4,Apr,115.1,8.48
2014,5,May,115.8,8.33
2014,6,Jun,116.7,6.77
2014,7,Jul,119.2,7.39
2014,8,Aug,120.3,7.03
2014,9,Sep,120.1,5.63
2014,10,Oct,120.1,4.62
2014,11,Nov,120.1,3.27
2014,12,Dec,119.4,4.28
2015,1,Jan,119.5,5.19
2015,2,Feb,119.7,5.37
2015,3,Mar,120.2,5.25
2015,4,Apr,120.7,4.87
2015,5,May,121.6,5.01
2015,6,Jun,123.0,5.4
2015,7,Jul,123.6,3.69
2015,8,Aug,124.8,3.74
2015,9,Sep,125.4,4.41
2015,10,Oct,126.1,5.0
2015,11,Nov,126.6,5.41
2015,12,Dec,126.1,5.61
2016,1,Jan,126.3,5.69
2016,2,Feb,126.0,5.26
2016,3,Mar,126.0,4.83
2016,4,Apr,127.3,5.47
2016,5,May,128.6,5.76
2016,6,Jun,130.1,5.77
2016,7,Jul,131.1,6.07
2016,8,Aug,131.1,5.05
2016,9,Sep,130.9,4.39
2016,10,Oct,131.4,4.2
2016,11,Nov,131.2,3.63
2016,12,Dec,130.4,3.41
2017,1,Jan,130.3,3.17
2017,2,Feb,130.6,3.65
2017,3,Mar,130.9,3.89
2017,4,Apr,131.1,2.99
2017,5,May,131.4,2.18
2017,6,Jun,132.0,1.46
2017,7,Jul,134.2,2.36
2017,8,Aug,135.4,3.28
2017,9,Sep,135.2,3.28
2017,10,Oct,136.1,3.58
2017,11,Nov,137.6,4.88
2017,12,Dec,137.2,5.21
2018,1,Jan,136.9,5.07
2018,2,Feb,136.4,4.44
2018,3,Mar,136.5,4.28
2018,4,Apr,137.1,4.58
2018,5,May,137.8,4.87
2018,6,Jun,138.5,4.92
2018,7,Jul,139.8,4.17
2018,8,Aug,140.4,3.69
2018,9,Sep,140.2,3.7
2018,10,Oct,140.7,3.38
2018,11,Nov,140.8,2.33
2018,12,Dec,140.1,2.11
2019,1,Jan,139.6,1.97
2019,2,Feb,139.9,2.57
2019,3,Mar,140.4,2.86
2019,4,Apr,141.2,2.99
2019,5,May,142.0,3.05
2019,6,Jun,142.9,3.18
2019,7,Jul,144.2,3.15
2019,8,Aug,145.0,3.28
2019,9,Sep,145.8,3.99
2019,10,Oct,147.2,4.62
2019,11,Nov,148.6,5.54
2019,12,Dec,150.4,7.35
2020,1,Jan,150.2,7.59
2020,2,Feb,149.1,6.58
2020,3,Mar,148.6,5.84
2020,4,Apr,151.4,
2020,5,May,150.9,
2020,6,Jun,151.8,6.23
2020,7,Jul,153.9,6.73
2020,8,Aug,154.7,6.69
2020,9,Sep,156.4,7.27
2020,10,Oct,158.4,7.61
2020,11,Nov,158.9,6.93
2020,12,Dec,157.3,4.59
2021,1,Jan,156.3,4.06
2021,2,Feb,156.6,5.03
2021,3,Mar,156.8,5.52
2021,4,Apr,157.8,4.23
2021,5,May,160.4,6.3
2021,6,Jun,161.3,6.26
2021,7,Jul,162.5,5.59
2021,8,Aug,162.9,5.3
2021,9,Sep,163.2,4.35
2021,10,Oct,165.5,4.48
2021,11,Nov,166.7,4.91
2021,12,Dec,166.2,5.66
2022,1,Jan,165.7,6.01
2022,2,Feb,166.1,6.07
2022,3,Mar,167.7,6.95
2022,4,Apr,170.1,7.79
2022,5,May,171.7,7.04
2022,6,Jun,172.6,7.01
2022,7,Jul,173.4,6.71
2022,8,Aug,174.3,7.0
2022,9,Sep,175.3,7.41
2022,10,Oct,176.7,6.77
2022,11,Nov,176.5,5.88
2022,12,Dec,175.7,5.72
2023,1,Jan,176.5,6.52
2023,2,Feb,176.8,6.44
2023,3,Mar,177.2,5.66
2023,4,Apr,178.1,4.7
2023,5,May,179.1,4.31
2023,6,Jun,181.0,4.87
2023,7,Jul,186.3,7.44
2023,8,Aug,186.2,6.83
2023,9,Sep,184.1,5.02
2023,10,Oct,185.3,4.87
2023,11,Nov,186.3,5.55
2023,12,Dec,185.7,5.69
2024,1,Jan,185.5,5.1
2024,2,Feb,185.8,5.09
2024,3,Mar,185.8,4.85
2024,4,Apr,186.7,4.83
2024,5,May,187.7,4.8
2024,6,Jun,190.2,5.08
2024,7,Jul,193.0,3.6
2024,8,Aug,193.0,3.65
2024,9,Sep,194.2,5.49
2024,10,Oct,196.8,6.21
2024,11,Nov,196.5,5.48
2024,12,Dec,195.4,5.22
2025,1,Jan,193.4,4.26
2025,2,Feb,192.5,3.61
2025,3,Mar,192.0,3.34
2025,4,Apr,192.6,3.16
2025,5,May,193.0,2.82
2025,6,Jun,194.2,2.1
2025,7,Jul,196.1,1.61
2025,8,Aug,197.0,2.07
2025,9,Sep,197.0,1.44
2025,10,Oct,197.3,0.25
2025,11,Nov,197.9,0.71
2025,12,Dec,198.0,1.33
