year,month,date_label,crar_pct,crar_is_forward_filled
2010,3,Mar-2010,,False
2010,9,Sep-2010,,True
2011,3,Mar-2011,,False
2011,9,Sep-2011,,True
2012,3,Mar-2012,14.2,False
2012,9,Sep-2012,14.2,True
2013,3,Mar-2013,13.9,False
2013,9,Sep-2013,13.9,True
2014,3,Mar-2014,13.0,False
2014,9,Sep-2014,13.0,True
2015,3,Mar-2015,13.0,False
2015,9,Sep-2015,13.0,True
2016,3,Mar-2016,13.3,False
2016,9,Sep-2016,13.3,True
2017,3,Mar-2017,13.7,False
2017,9,Sep-2017,13.7,True
2018,3,Mar-2018,13.8,False
2018,9,Sep-2018,13.8,True
2019,3,Mar-2019,14.3,False
2019,9,Sep-2019,14.3,True
2020,3,Mar-2020,14.8,False
2020,9,Sep-2020,14.8,True
2021,3,Mar-2021,16.3,False
2021,9,Sep-2021,16.3,True
2022,3,Mar-2022,16.8,False
2022,9,Sep-2022,16.8,True
2023,3,Mar-2023,17.2,False
2023,9,Sep-2023,17.2,True
2024,3,Mar-2024,16.9,False
2024,9,Sep-2024,16.9,True
2025,3,Mar-2025,16.9,True
2025,9,Sep-2025,16.9,True
