year,month,date_label,credit_to_gdp_pct_calendar_year_approx,calendar_year_used
2010,3,Mar-2010,48.1244479112046,2009
2010,9,Sep-2010,50.5553749785224,2010
2011,3,Mar-2011,50.5553749785224,2010
2011,9,Sep-2011,51.2892331325447,2011
2012,3,Mar-2012,51.2892331325447,2011
2012,9,Sep-2012,51.8885076473464,2012
2013,3,Mar-2013,51.8885076473464,2012
2013,9,Sep-2013,52.385709516972,2013
2014,3,Mar-2014,52.385709516972,2013
2014,9,Sep-2014,51.8821873589628,2014
2015,3,Mar-2015,51.8821873589628,2014
2015,9,Sep-2015,51.8675240772049,2015
2016,3,Mar-2016,51.8675240772049,2015
2016,9,Sep-2016,38.2036507912231,2016
2017,3,Mar-2017,38.2036507912231,2016
2017,9,Sep-2017,38.1707138624147,2017
2018,3,Mar-2018,38.1707138624147,2017
2018,9,Sep-2018,38.8975254010362,2018
2019,3,Mar-2019,38.8975254010362,2018
2019,9,Sep-2019,38.73794497616,2019
2020,3,Mar-2020,38.73794497616,2019
2020,9,Sep-2020,40.7867848551821,2020
2021,3,Mar-2021,40.7867848551821,2020
2021,9,Sep-2021,36.8920885102897,2021
2022,3,Mar-2022,36.8920885102897,2021
2022,9,Sep-2022,37.0884923118537,2022
2023,3,Mar-2023,37.0884923118537,2022
2023,9,Sep-2023,39.3477383453003,2023
2024,3,Mar-2024,39.3477383453003,2023
2024,9,Sep-2024,40.021522481888,2024
2025,3,Mar-2025,40.021522481888,2024
2025,9,Sep-2025,,2025
