year,month,date_label,repo_rate_pct,reverse_repo_rate_pct
2010,3,Mar-2010,5.0,3.5
2010,9,Sep-2010,6.0,5.0
2011,3,Mar-2011,6.75,5.75
2011,9,Sep-2011,8.25,7.25
2012,3,Mar-2012,8.5,7.5
2012,9,Sep-2012,8.0,7.0
2013,3,Mar-2013,7.5,6.5
2013,9,Sep-2013,7.5,6.5
2014,3,Mar-2014,8.0,7.0
2014,9,Sep-2014,8.0,7.0
2015,3,Mar-2015,7.5,6.5
2015,9,Sep-2015,6.75,5.75
2016,3,Mar-2016,6.75,5.75
2016,9,Sep-2016,6.5,6.0
2017,3,Mar-2017,6.25,5.75
2017,9,Sep-2017,6.0,5.75
2018,3,Mar-2018,6.0,5.75
2018,9,Sep-2018,6.5,6.25
2019,3,Mar-2019,6.25,6.0
2019,9,Sep-2019,5.4,5.15
2020,3,Mar-2020,4.4,4.0
2020,9,Sep-2020,4.0,3.35
2021,3,Mar-2021,4.0,3.35
2021,9,Sep-2021,4.0,3.35
2022,3,Mar-2022,4.0,3.35
2022,9,Sep-2022,5.9,3.35
2023,3,Mar-2023,6.5,3.35
2023,9,Sep-2023,6.5,3.35
2024,3,Mar-2024,6.5,3.35
2024,9,Sep-2024,6.5,3.35
2025,3,Mar-2025,6.25,3.35
2025,9,Sep-2025,6.25,3.35
